IdMesta,Naziv
707805,Ђорђевац
707813,Жбевац
707821,Жужељица
707830,Зарбинце
707848,Јабланица
707856,Јастребац
707864,Карадник
707872,Кленике
707899,Клиновац
707902,Кончуљ
707929,Кошарно
707937,Кршевица
707945,Куштица
707953,Левосоје
707961,Летовица
707970,Лопардинце
707988,Лукарце
707996,Лучане
708003,Љиљанце
708011,Мали Трновац
708020,Муховац
708038,Неговац
708046,Несалце
708054,Осларе
708062,Света Петка
708089,Претина
708097,Прибовце
708119,Равно Бучје
708127,Раковац
708135,Русце
708143,Самољица
708151,Себрат
708160,Сејаце
708178,Спанчевац
708186,Српска Кућа
708194,Старац
708208,Сухарно
708216,Трејак
708224,Турија
708232,Узово
708259,Чар
708267,Бабина Лука
708275,Балиновић
708283,Бачевци
708291,Белић
708305,Белошевац
708313,Беомужевић
708321,Близоње
708330,Бобова
708348,Богатић
708356,Бранговић
708364,Бранковина
708372,Брезовице
708399,Бујачић
708402,Ваљево
708429,Веселиновац
708437,Влашчић
708445,Врагочаница
708453,Вујиновача
708461,Гола Глава
708470,Горић
708488,Горња Буковица
708496,Горња Грабовица
708500,Горње Лесковице
708518,Дегурић
708526,Дивци
708534,Дивчибаре
708542,Доња Буковица
708569,Доње Лесковице
708577,Драчић
708585,Дупљај
708593,Жабари
708607,Забрдица
708615,Зарубе
708623,Златарић
708631,Јазовик
708640,Јасеница
708658,Јовања
708666,Јошева
708674,Каменица
708682,Кланица
708704,Клинци
708712,Ковачице
708739,Козличић
708747,Котешица
708755,Кунице
708763,Лелић
708771,Лозница
708780,Лукавац
708798,Мајиновић
708801,Мијачи
708810,Миличиница
708828,Мрчић
708836,Оглађеновац
708844,Осладић
708852,Пакље
708879,Пауне
708887,Петница
708895,Попучке
708909,Пријездић
708917,Причевић
708925,Рабас
708933,Равње
708941,Рађево Село
708950,Ребељ
708968,Ровни
708976,Сандаљ
708984,Седлари
708992,Ситарице
709000,Совач
709018,Станина Река
709026,Стапар
709034,Стрмна Гора
709042,Стубо
709069,Суводање
709077,Сушица
709085,Таор
709093,Тубравић
709107,Тупанци
709115,Бачина
709123,Бошњане
709131,Варварин
709140,Варварин (село)
709158,Горњи Катун
709166,Горњи Крчин
709174,Доњи Катун
709182,Доњи Крчин
709204,Залоговац
709212,Избеница
709239,Карановац
709247,Мала Крушевица
709255,Мареново
709263,Маскаре
709271,Обреж
709280,Орашје
709298,Пајковац
709301,Парцане
709310,Суваја
709328,Тољевац
709336,Церница
709344,Велика Плана
709352,Велико Орашје
709379,Доња Ливадица
709387,Крњево
709395,Купусина
709409,Лозовик
709417,Марковац
709425,Милошевац
709433,Ново Село
709441,Радовање
709450,Ракинац
709468,Старо Село
709476,Трновче
709484,Бискупље
709492,Велико Градиште
709506,Гарево
709514,Десине
709522,Дољашница
709549,Ђураково
709557,Затоње
709565,Камијево
709573,Кисиљево
709581,Кумане
709590,Курјаче
709603,Кусиће
709611,Љубиње
709620,Мајиловац
709638,Макце
709646,Острово
709654,Печаница
709662,Пожежено
709689,Поповац
709697,Рам
709719,Сираково
709727,Средњево
709735,Тополовник
709743,Триброде
709751,Царевац
709760,Чешљева Бара
709778,Белотић
709786,Бељин
709794,Бобовик
709808,Владимирци
709816,Власеница
709824,Вукошић
709832,Вучевица
709859,Дебрц
709867,Драгојевац
709875,Звезд
709883,Јазовник
709891,Јаловик
709905,Каона
709913,Козарица
709921,Крнић
709930,Крнуле
709948,Кујавица
709956,Лојанице
709964,Матијевац
709972,Месарци
709999,Меховине
710008,Мровска
710016,Ново Село
710024,Пејиновић
710032,Прово
710059,Риђаке
710067,Скупљен
710075,Суво Село
710083,Трбушац
710091,Балиновце
710105,Бачвиште
710113,Белановце
710121,Белишево
710130,Богошево
710148,Брестово
710156,Владичин Хан
710164,Врбово
710172,Гариње
710199,Горње Јабуково
710202,Грамађе
710229,Декутинце
710237,Доње Јабуково
710245,Дупљане
710253,Житорађе
710261,Зебинце
710270,Јагњило
710288,Јастребац
710296,Јовац
710300,Калиманце
710318,Кацапун
710326,Козница
710334,Копитарце
710342,Костомлатица
710369,Кржинце
710377,Кукавица
710385,Куново
710393,Лебет
710407,Лепеница
710415,Летовиште
710423,Љутеж
710431,Мазараћ
710440,Манајле
710458,Мањак
710466,Мртвица
710474,Островица
710482,Полом
710504,Прекодолце
710512,Прибој
710539,Равна Река
710547,Рдово
710555,Репинце
710563,Репиште
710571,Ружић
710580,Солачка Сена
710598,Срнећи Дол
710601,Стубал
710610,Сува Морава
710628,Теговиште
710636,Урвич
710644,Џеп
710652,Алексине
710679,Батуловце
710687,Бољаре
710695,Борин До
710709,Брезовица
710717,Власотинце
710725,Гложане
710733,Горња Ломница
710741,Горња Лопушња
710750,Горњи Дејан
710768,Горњи Орах
